offence,occurrenceyear,MCI,Division,Hood_ID,Neighbourhood,Long,Lat
THEFT UNDER,2016.0,bicycle theft,52,76,Bay Street Corridor (76),-79.38761140000003,43.6684227
THEFT UNDER - BICYCLE,2016.0,bicycle theft,53,55,Thorncliffe Park (55),-79.3564224,43.7134666
THEFT UNDER - BICYCLE,2016.0,bicycle theft,53,55,Thorncliffe Park (55),-79.3564224,43.7134666
THEFT UNDER - BICYCLE,2016.0,bicycle theft,53,55,Thorncliffe Park (55),-79.3564224,43.7134666
THEFT UNDER - BICYCLE,2016.0,bicycle theft,14,84,Little Portugal (84),-79.4275131,43.64287570000001
THEFT UNDER - BICYCLE,2016.0,bicycle theft,11,88,High Park North (88),-79.46258540000002,43.660244
THEFT UNDER - BICYCLE,2016.0,bicycle theft,14,84,Little Portugal (84),-79.4275131,43.64287570000001
THEFT UNDER - BICYCLE,2016.0,bicycle theft,32,51,Willowdale East (51),-79.41264340000002,43.7674179
THEFT UNDER - BICYCLE,2016.0,bicycle theft,52,77,Waterfront Communities-The Island (77),-79.3897018,43.6458817
THEFT UNDER,2016.0,bicycle theft,52,76,Bay Street Corridor (76),-79.384613,43.6572533
THEFT UNDER - BICYCLE,2016.0,bicycle theft,33,52,Bayview Village (52),-79.3887787,43.769001
THEFT UNDER - BICYCLE,2016.0,bicycle theft,14,82,Niagara (82),-79.41146090000002,43.6456909
THEFT UNDER,2016.0,bicycle theft,12,112,Beechborough-Greenbrook (112),-79.470871,43.6952171
THEFT UNDER - BICYCLE,2016.0,bicycle theft,54,59,Danforth East York (59),-79.3133545,43.68647
THEFT UNDER - BICYCLE,2016.0,bicycle theft,52,78,Kensington-Chinatown (78),-79.3906631,43.6561012
THEFT UNDER - BICYCLE,2016.0,bicycle theft,52,76,Bay Street Corridor (76),-79.3865662,43.647953
THEFT UNDER,2016.0,bicycle theft,51,74,North St.James Town (74),-79.3760529,43.6664314
THEFT UNDER,2016.0,bicycle theft,52,77,Waterfront Communities-The Island (77),-79.3761597,43.642601
THEFT UNDER - SHOPLIFTING,2016.0,bicycle theft,52,76,Bay Street Corridor (76),-79.3912277,43.6693039
THEFT UNDER - BICYCLE,2016.0,bicycle theft,14,81,Trinity-Bellwoods (81),-79.4175186,43.64738079999999
THEFT UNDER - BICYCLE,2016.0,bicycle theft,51,72,Regent Park (72),-79.3656998,43.6581154
THEFT UNDER,2016.0,bicycle theft,51,75,Church-Yonge Corridor (75),-79.3822556,43.668293
THEFT UNDER,2016.0,bicycle theft,13,94,Wychwood (94),-79.4290695,43.68099210000001
THEFT UNDER,2016.0,bicycle theft,51,71,Cabbagetown-South St.James Town (71),-79.3723602,43.6633339
THEFT UNDER,2016.0,bicycle theft,52,76,Bay Street Corridor (76),-79.38792420000001,43.6655884
THEFT UNDER - BICYCLE,2016.0,bicycle theft,54,67,Playter Estates-Danforth (67),-79.3602905,43.6769905
THEFT UNDER,2016.0,bicycle theft,14,77,Waterfront Communities-The Island (77),-79.40396120000003,43.6464157
THEFT UNDER,2016.0,bicycle theft,14,93,Dovercourt-Wallace Emerson-Junction (93),-79.42953490000002,43.6645355
THEFT UNDER,2016.0,bicycle theft,14,93,Dovercourt-Wallace Emerson-Junction (93),-79.42953490000002,43.6645355
THEFT UNDER,2016.0,bicycle theft,55,63,The Beaches (63),-79.29821779999997,43.6704063
THEFT UNDER,2016.0,bicycle theft,51,75,Church-Yonge Corridor (75),-79.3723907,43.64907460000001
THEFT UNDER,2016.0,bicycle theft,51,75,Church-Yonge Corridor (75),-79.3776932,43.6512566
THEFT UNDER - BICYCLE,2016.0,bicycle theft,53,104,Mount Pleasant West (104),-79.3906708,43.6985474
THEFT UNDER,2016.0,bicycle theft,14,95,Annex (95),-79.41876979999998,43.6638908
THEFT UNDER,2016.0,bicycle theft,14,95,Annex (95),-79.41876979999998,43.6638908
THEFT UNDER - BICYCLE,2016.0,bicycle theft,14,82,Niagara (82),-79.4218521,43.6414185
THEFT UNDER,2016.0,bicycle theft,55,63,The Beaches (63),-79.3082504,43.66819
THEFT UNDER,2016.0,bicycle theft,55,63,The Beaches (63),-79.3082504,43.66819
THEFT UNDER - BICYCLE,2016.0,bicycle theft,51,77,Waterfront Communities-The Island (77),-79.3723907,43.64907460000001
THEFT UNDER - BICYCLE,2016.0,bicycle theft,51,77,Waterfront Communities-The Island (77),-79.3723907,43.64907460000001
THEFT UNDER - BICYCLE,2016.0,bicycle theft,32,37,Willowdale West (37),-79.4131012,43.7692184
THEFT UNDER - BICYCLE,2016.0,bicycle theft,32,37,Willowdale West (37),-79.4131012,43.7692184
THEFT UNDER - BICYCLE,2016.0,bicycle theft,53,100,Yonge-Eglinton (100),-79.40103909999998,43.7077065
THEFT UNDER - BICYCLE,2016.0,bicycle theft,53,100,Yonge-Eglinton (100),-79.40103909999998,43.7077065
THEFT UNDER - BICYCLE,2016.0,bicycle theft,53,95,Annex (95),-79.40290829999998,43.666851
THEFT UNDER - BICYCLE,2016.0,bicycle theft,53,98,Rosedale-Moore Park (98),-79.38513950000002,43.67242810000001
B&E,2016.0,bicycle theft,14,82,Niagara (82),-79.41611479999997,43.6389656
B&E,2016.0,bicycle theft,14,82,Niagara (82),-79.41611479999997,43.6389656
THEFT UNDER - BICYCLE,2016.0,bicycle theft,32,51,Willowdale East (51),-79.4109497,43.7606583
THEFT UNDER - BICYCLE,2016.0,bicycle theft,53,104,Mount Pleasant West (104),-79.3947906,43.70496370000001
THEFT UNDER,2016.0,bicycle theft,13,93,Dovercourt-Wallace Emerson-Junction (93),-79.44918059999998,43.6696358
THEFT UNDER,2016.0,bicycle theft,13,106,Humewood-Cedarvale (106),-79.42327879999998,43.68832020000001
THEFT UNDER,2016.0,bicycle theft,52,76,Bay Street Corridor (76),-79.3853912,43.6591721
THEFT UNDER - BICYCLE,2016.0,bicycle theft,31,27,York University Heights (27),-79.49999240000002,43.7742958
THEFT UNDER,2016.0,bicycle theft,52,77,Waterfront Communities-The Island (77),-79.38707729999999,43.6492004
THEFT UNDER,2016.0,bicycle theft,11,90,Junction Area (90),-79.4672928,43.6713028
THEFT UNDER,2016.0,bicycle theft,11,93,Dovercourt-Wallace Emerson-Junction (93),-79.4418488,43.6610146
THEFT UNDER,2016.0,bicycle theft,11,87,High Park-Swansea (87),-79.45835109999999,43.6537704
THEFT UNDER,2016.0,bicycle theft,11,87,High Park-Swansea (87),-79.45835109999999,43.6537704
THEFT UNDER,2016.0,bicycle theft,11,87,High Park-Swansea (87),-79.45835109999999,43.6537704
THEFT UNDER,2016.0,bicycle theft,11,87,High Park-Swansea (87),-79.45835109999999,43.6537704
THEFT UNDER,2016.0,bicycle theft,51,73,Moss Park (73),-79.36934659999999,43.653324100000006
THEFT UNDER - BICYCLE,2016.0,bicycle theft,32,37,Willowdale West (37),-79.4131012,43.7692184
THEFT UNDER - BICYCLE,2016.0,bicycle theft,52,76,Bay Street Corridor (76),-79.38664250000002,43.6533203
THEFT UNDER - BICYCLE,2016.0,bicycle theft,32,36,Newtonbrook West (36),-79.42559809999999,43.7775345
B&E,2016.0,bicycle theft,55,70,South Riverdale (70),-79.34180450000002,43.66478729999999
B&E,2016.0,bicycle theft,55,70,South Riverdale (70),-79.34180450000002,43.66478729999999
THEFT UNDER,2016.0,bicycle theft,55,69,Blake-Jones (69),-79.3359756,43.6733704
THEFT UNDER,2016.0,bicycle theft,52,77,Waterfront Communities-The Island (77),-79.3922882,43.6487961
THEFT UNDER,2016.0,bicycle theft,14,84,Little Portugal (84),-79.4311142,43.6495705
THEFT UNDER - BICYCLE,2016.0,bicycle theft,51,75,Church-Yonge Corridor (75),-79.3817825,43.65785220000001
THEFT UNDER - BICYCLE,2016.0,bicycle theft,52,77,Waterfront Communities-The Island (77),-79.3804016,43.6399078
THEFT UNDER - BICYCLE,2016.0,bicycle theft,52,77,Waterfront Communities-The Island (77),-79.3804016,43.6399078
THEFT OF EBIKE OVER $5000,2016.0,bicycle theft,52,76,Bay Street Corridor (76),-79.3826218,43.65170670000001
THEFT UNDER,2016.0,bicycle theft,14,95,Annex (95),-79.4119873,43.6665649
THEFT UNDER - BICYCLE,2016.0,bicycle theft,52,76,Bay Street Corridor (76),-79.3876343,43.6556625
THEFT UNDER - BICYCLE,2016.0,bicycle theft,52,77,Waterfront Communities-The Island (77),-79.3813477,43.64179229999999
THEFT UNDER,2016.0,bicycle theft,14,82,Niagara (82),-79.4223709,43.6326256
THEFT UNDER,2016.0,bicycle theft,52,76,Bay Street Corridor (76),-79.3839645,43.6556587
THEFT UNDER - BICYCLE,2016.0,bicycle theft,41,127,Bendale (127),-79.26428990000002,43.7457771
THEFT UNDER - BICYCLE,2016.0,bicycle theft,32,105,Lawrence Park North (105),-79.403038,43.7273788
THEFT UNDER,2016.0,bicycle theft,51,75,Church-Yonge Corridor (75),-79.3790741,43.660614
THEFT UNDER - BICYCLE,2016.0,bicycle theft,14,77,Waterfront Communities-The Island (77),-79.3985748,43.6402473
THEFT UNDER - BICYCLE,2016.0,bicycle theft,53,95,Annex (95),-79.3907318,43.672081
THEFT UNDER,2016.0,bicycle theft,51,75,Church-Yonge Corridor (75),-79.3730316,43.6526489
B&E,2016.0,bicycle theft,14,84,Little Portugal (84),-79.4275131,43.64287570000001
THEFT UNDER - BICYCLE,2016.0,bicycle theft,51,73,Moss Park (73),-79.3734512,43.6536751
THEFT UNDER,2016.0,bicycle theft,55,70,South Riverdale (70),-79.3410645,43.6663857
THEFT UNDER,2016.0,bicycle theft,14,78,Kensington-Chinatown (78),-79.39784240000002,43.6518211
THEFT UNDER - BICYCLE,2016.0,bicycle theft,54,66,Danforth (66),-79.338562,43.682869
THEFT UNDER - BICYCLE,2016.0,bicycle theft,53,95,Annex (95),-79.3907318,43.672081
THEFT UNDER - BICYCLE,2016.0,bicycle theft,52,78,Kensington-Chinatown (78),-79.3901825,43.6586456
THEFT UNDER,2016.0,bicycle theft,51,73,Moss Park (73),-79.37127690000001,43.6515503
THEFT UNDER - BICYCLE,2016.0,bicycle theft,55,63,The Beaches (63),-79.3031921,43.6669693
THEFT UNDER,2016.0,bicycle theft,14,81,Trinity-Bellwoods (81),-79.41160579999998,43.6556587
THEFT UNDER,2016.0,bicycle theft,55,62,East End-Danforth (62),-79.2936478,43.6853447
THEFT UNDER - BICYCLE,2016.0,bicycle theft,43,139,Scarborough Village (139),-79.2253647,43.7417374
THEFT UNDER,2016.0,bicycle theft,14,77,Waterfront Communities-The Island (77),-79.3952484,43.6454124
THEFT UNDER - BICYCLE,2016.0,bicycle theft,51,75,Church-Yonge Corridor (75),-79.3801041,43.6699181
THEFT OF EBIKE UNDER $5000,2016.0,bicycle theft,14,79,University (79),-79.4087448,43.661705
THEFT UNDER,2016.0,bicycle theft,22,14,Islington-City Centre West (14),-79.5590973,43.6271057
THEFT UNDER - BICYCLE,2016.0,bicycle theft,55,63,The Beaches (63),-79.30939479999998,43.6679344
THEFT UNDER,2016.0,bicycle theft,51,73,Moss Park (73),-79.36934659999999,43.653324100000006
THEFT UNDER,2016.0,bicycle theft,51,77,Waterfront Communities-The Island (77),-79.36631009999998,43.6492729
THEFT UNDER,2016.0,bicycle theft,51,77,Waterfront Communities-The Island (77),-79.3692017,43.6438828
THEFT UNDER,2016.0,bicycle theft,51,75,Church-Yonge Corridor (75),-79.3851547,43.66578670000001
THEFT UNDER - BICYCLE,2016.0,bicycle theft,53,98,Rosedale-Moore Park (98),-79.3872223,43.6895409
THEFT UNDER - BICYCLE,2016.0,bicycle theft,42,128,Agincourt South-Malvern West (128),-79.23802950000002,43.7914543
THEFT UNDER - BICYCLE,2016.0,bicycle theft,53,99,Mount Pleasant East (99),-79.389534,43.7120972
THEFT UNDER,2016.0,bicycle theft,14,82,Niagara (82),-79.4015274,43.6351204
THEFT UNDER,2016.0,bicycle theft,52,76,Bay Street Corridor (76),-79.381485,43.6531525
THEFT UNDER,2016.0,bicycle theft,43,136,West Hill (136),-79.1790848,43.763237
THEFT UNDER,2016.0,bicycle theft,11,93,Dovercourt-Wallace Emerson-Junction (93),-79.4466629,43.6666718
B&E,2016.0,bicycle theft,51,77,Waterfront Communities-The Island (77),-79.3767014,43.6457291
THEFT UNDER - BICYCLE,2016.0,bicycle theft,12,110,Keelesdale-Eglinton West (110),-79.4667435,43.6862335
THEFT UNDER - BICYCLE,2016.0,bicycle theft,12,110,Keelesdale-Eglinton West (110),-79.4667435,43.6862335
THEFT UNDER - BICYCLE,2016.0,bicycle theft,14,82,Niagara (82),-79.4035645,43.64545820000001
THEFT UNDER - BICYCLE,2016.0,bicycle theft,52,76,Bay Street Corridor (76),-79.384613,43.6572533
THEFT UNDER - BICYCLE,2016.0,bicycle theft,32,51,Willowdale East (51),-79.39512629999999,43.7658424
FTC PROBATION ORDER,2016.0,bicycle theft,22,10,Princess-Rosethorn (10),-79.5314636,43.6625748
THEFT UNDER - BICYCLE,2016.0,bicycle theft,51,76,Bay Street Corridor (76),-79.3815689,43.65736010000001
THEFT UNDER - BICYCLE,2016.0,bicycle theft,55,63,The Beaches (63),-79.30493929999999,43.6661644
THEFT UNDER - BICYCLE,2016.0,bicycle theft,51,75,Church-Yonge Corridor (75),-79.38479609999997,43.66488270000001
THEFT UNDER - BICYCLE,2016.0,bicycle theft,55,62,East End-Danforth (62),-79.2936478,43.6853447
THEFT UNDER - BICYCLE,2016.0,bicycle theft,32,37,Willowdale West (37),-79.4180679,43.7776108
THEFT UNDER,2016.0,bicycle theft,51,74,North St.James Town (74),-79.37559509999998,43.66868970000001
THEFT UNDER,2016.0,bicycle theft,14,82,Niagara (82),-79.4015274,43.6351204
THEFT UNDER,2016.0,bicycle theft,52,77,Waterfront Communities-The Island (77),-79.3816757,43.6428566
THEFT UNDER - BICYCLE,2016.0,bicycle theft,53,56,Leaside-Bennington (56),-79.37184140000002,43.7025146
B&E,2016.0,bicycle theft,51,70,South Riverdale (70),-79.34142299999998,43.6420555
THEFT UNDER - BICYCLE,2016.0,bicycle theft,11,83,Dufferin Grove (83),-79.43723299999998,43.65515900000001
THEFT UNDER - BICYCLE,2016.0,bicycle theft,51,74,North St.James Town (74),-79.37559509999998,43.66868970000001
THEFT UNDER,2016.0,bicycle theft,52,76,Bay Street Corridor (76),-79.38047790000002,43.6485939
THEFT UNDER,2016.0,bicycle theft,52,77,Waterfront Communities-The Island (77),-79.39413449999998,43.646457700000006
THEFT UNDER - BICYCLE,2016.0,bicycle theft,32,50,Newtonbrook East (50),-79.41619870000002,43.7815819
THEFT UNDER,2016.0,bicycle theft,52,76,Bay Street Corridor (76),-79.38095859999999,43.6520691
THEFT UNDER - BICYCLE,2016.0,bicycle theft,52,76,Bay Street Corridor (76),-79.3866119,43.6581192
THEFT UNDER,2016.0,bicycle theft,14,78,Kensington-Chinatown (78),-79.4051819,43.6546288
THEFT UNDER,2016.0,bicycle theft,51,77,Waterfront Communities-The Island (77),-79.3570175,43.6528702
THEFT UNDER,2016.0,bicycle theft,51,75,Church-Yonge Corridor (75),-79.3815689,43.65736010000001
THEFT UNDER - BICYCLE,2016.0,bicycle theft,14,85,South Parkdale (85),-79.4438553,43.6376076
THEFT UNDER - BICYCLE,2016.0,bicycle theft,12,90,Junction Area (90),-79.46955870000002,43.6740723
THEFT UNDER - BICYCLE,2016.0,bicycle theft,53,100,Yonge-Eglinton (100),-79.4055786,43.7115059
THEFT UNDER - BICYCLE,2016.0,bicycle theft,14,78,Kensington-Chinatown (78),-79.4033966,43.6573257
THEFT UNDER,2016.0,bicycle theft,22,17,Mimico (includes Humber Bay Shores) (17),-79.4814072,43.6229134
THEFT UNDER - BICYCLE,2016.0,bicycle theft,54,57,Broadview North (57),-79.3574219,43.682869
THEFT UNDER - BICYCLE,2016.0,bicycle theft,14,85,South Parkdale (85),-79.4255371,43.637291
THEFT UNDER - BICYCLE,2016.0,bicycle theft,22,17,Mimico (includes Humber Bay Shores) (17),-79.4814072,43.6229134
THEFT UNDER - BICYCLE,2016.0,bicycle theft,52,79,University (79),-79.4026108,43.6637955
THEFT UNDER,2016.0,bicycle theft,14,77,Waterfront Communities-The Island (77),-79.4016113,43.6476517
THEFT UNDER - BICYCLE,2016.0,bicycle theft,51,77,Waterfront Communities-The Island (77),-79.3739853,43.6483879
THEFT UNDER,2016.0,bicycle theft,51,71,Cabbagetown-South St.James Town (71),-79.3682556,43.6644096
THEFT UNDER,2016.0,bicycle theft,54,59,Danforth East York (59),-79.3133545,43.68647
THEFT UNDER - BICYCLE,2016.0,bicycle theft,33,48,Hillcrest Village (48),-79.35206600000002,43.79700089999999
THEFT UNDER - BICYCLE,2016.0,bicycle theft,14,82,Niagara (82),-79.4063187,43.6417885
THEFT UNDER - BICYCLE,2016.0,bicycle theft,14,85,South Parkdale (85),-79.4254837,43.6407814
THEFT UNDER - BICYCLE,2016.0,bicycle theft,14,77,Waterfront Communities-The Island (77),-79.401329,43.6469154
THEFT UNDER - BICYCLE,2016.0,bicycle theft,11,90,Junction Area (90),-79.47668459999998,43.6648216
THEFT UNDER - BICYCLE,2016.0,bicycle theft,51,75,Church-Yonge Corridor (75),-79.3751678,43.6550941
THEFT UNDER - BICYCLE,2016.0,bicycle theft,14,84,Little Portugal (84),-79.42304990000002,43.6411819
THEFT UNDER - BICYCLE,2016.0,bicycle theft,51,75,Church-Yonge Corridor (75),-79.3796768,43.6559792
THEFT UNDER - BICYCLE,2016.0,bicycle theft,14,81,Trinity-Bellwoods (81),-79.4136963,43.6507263
THEFT UNDER - BICYCLE,2016.0,bicycle theft,52,76,Bay Street Corridor (76),-79.3812714,43.6505089
THEFT UNDER - BICYCLE,2016.0,bicycle theft,43,137,Woburn (137),-79.22646329999998,43.744339
THEFT UNDER - BICYCLE,2016.0,bicycle theft,51,75,Church-Yonge Corridor (75),-79.38072199999998,43.6645927
THEFT UNDER - BICYCLE,2016.0,bicycle theft,55,65,Greenwood-Coxwell (65),-79.31680300000002,43.6663055
THEFT UNDER,2016.0,bicycle theft,11,88,High Park North (88),-79.4639053,43.6538429
THEFT UNDER,2016.0,bicycle theft,55,70,South Riverdale (70),-79.3442841,43.6614647
THEFT UNDER,2016.0,bicycle theft,55,70,South Riverdale (70),-79.3319244,43.6666794
THEFT UNDER,2016.0,bicycle theft,51,73,Moss Park (73),-79.36693570000001,43.6538773
THEFT UNDER - BICYCLE,2016.0,bicycle theft,11,83,Dufferin Grove (83),-79.43723299999998,43.65515900000001
THEFT UNDER,2016.0,bicycle theft,52,77,Waterfront Communities-The Island (77),-79.3909988,43.64907460000001
THEFT UNDER,2016.0,bicycle theft,52,76,Bay Street Corridor (76),-79.3794556,43.6523857
THEFT UNDER - BICYCLE,2016.0,bicycle theft,41,126,Dorset Park (126),-79.28479,43.76633070000001
THEFT UNDER - BICYCLE,2016.0,bicycle theft,32,31,Yorkdale-Glen Park (31),-79.449173,43.7174416
THEFT UNDER - BICYCLE,2016.0,bicycle theft,32,31,Yorkdale-Glen Park (31),-79.449173,43.7174416
THEFT UNDER,2016.0,bicycle theft,14,81,Trinity-Bellwoods (81),-79.4175568,43.6537552
THEFT UNDER,2016.0,bicycle theft,54,66,Danforth (66),-79.3408127,43.6797333
THEFT UNDER,2016.0,bicycle theft,55,70,South Riverdale (70),-79.3429565,43.6611252
THEFT UNDER,2016.0,bicycle theft,11,90,Junction Area (90),-79.4660873,43.6653709
THEFT UNDER,2016.0,bicycle theft,51,73,Moss Park (73),-79.3675537,43.6590691
THEFT UNDER,2016.0,bicycle theft,51,73,Moss Park (73),-79.3675537,43.6590691
THEFT UNDER - BICYCLE,2016.0,bicycle theft,43,135,Morningside (135),-79.1945572,43.7892227
THEFT UNDER,2016.0,bicycle theft,58,77,Waterfront Communities-The Island (77),-79.3846741,43.61714170000001
THEFT UNDER,2016.0,bicycle theft,55,65,Greenwood-Coxwell (65),-79.32822420000002,43.6708679
THEFT UNDER - BICYCLE,2016.0,bicycle theft,22,15,Kingsway South (15),-79.52256009999998,43.650753
THEFT UNDER,2016.0,bicycle theft,51,71,Cabbagetown-South St.James Town (71),-79.3751297,43.6642723
THEFT UNDER - BICYCLE,2016.0,bicycle theft,51,77,Waterfront Communities-The Island (77),-79.3739853,43.6483879
THEFT UNDER - BICYCLE,2016.0,bicycle theft,14,77,Waterfront Communities-The Island (77),-79.4008484,43.6387825
THEFT UNDER - BICYCLE,2016.0,bicycle theft,13,96,Casa Loma (96),-79.4154205,43.682373
THEFT UNDER,2016.0,bicycle theft,43,136,West Hill (136),-79.19978329999998,43.7535439
THEFT UNDER - BICYCLE,2016.0,bicycle theft,14,79,University (79),-79.4043503,43.6607361
THEFT UNDER - BICYCLE,2016.0,bicycle theft,51,77,Waterfront Communities-The Island (77),-79.3550644,43.6533165
THEFT UNDER,2016.0,bicycle theft,51,71,Cabbagetown-South St.James Town (71),-79.360527,43.663372
THEFT UNDER - BICYCLE,2016.0,bicycle theft,13,107,Oakwood Village (107),-79.4365997,43.6867142
THEFT UNDER,2016.0,bicycle theft,22,14,Islington-City Centre West (14),-79.5590973,43.6271057
THEFT UNDER - BICYCLE,2016.0,bicycle theft,51,75,Church-Yonge Corridor (75),-79.3801041,43.6699181
THEFT UNDER - BICYCLE,2016.0,bicycle theft,32,36,Newtonbrook West (36),-79.41619870000002,43.7815819
THEFT UNDER - BICYCLE,2016.0,bicycle theft,14,95,Annex (95),-79.4084625,43.6745567
THEFT UNDER - BICYCLE,2016.0,bicycle theft,23,2,Mount Olive-Silverstone-Jamestown (2),-79.5860214,43.7509232
